method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,20um,0.5,Unheated,O.N.87_A_19,87,A,19,21.64777392,20.86990997,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_22,87,A,22,13.58715618,15.234241,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_29,87,A,29,6.393971859,6.506021933,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_4,87,A,4,8.141608534,13.91550626,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_5,87,A,5,10.0193268,11.298551,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_9,87,A,9,5.046900163,6.603386926,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_13,87,B,13,7.974487228,12.36855112,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_19,87,B,19,6.975346271,10.4127126,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_23,87,B,23,10.14698157,11.50839092,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_24,87,B,24,8.615844456,9.599082547,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_28,87,B,28,13.84749591,15.81439076,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_2,87,B,2,12.2025325,14.76735321,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_31,87,B,31,16.50831056,18.87976433,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_6,87,B,6,10.98656882,10.52071103,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_B_7,87,B,7,5.656093468,6.441391003,old-0.5-20
old method,20um,0.5,F1S,O_N_37_2,37,,2,20.21272296,27.50979726,old-0.5-20
old method,20um,0.5,F1S,O_N_37_3A,37,,3A,3.381297739,6.495841106,old-0.5-20
old method,20um,0.5,F1S,O_N_37_4A,37,,4A,6.577395995,13.41997316,old-0.5-20
old method,20um,0.5,F1S,O_N_37_8A,37,,8A,12.66316369,18.25701197,old-0.5-20
old method,20um,0.5,F1S,O_N_37_8B,37,,8B,7.309007464,11.11964703,old-0.5-20
old method,20um,0.5,F1S,O_N_37_12A,37,,12A,10.65455804,14.15411891,old-0.5-20
old method,20um,0.5,F1S,O_N_37_17A,37,,17A,7.286769808,12.43646938,old-0.5-20
old method,20um,0.5,F1S,O_N_37_21,37,,21,6.544082298,18.56684802,old-0.5-20
old method,20um,0.5,F1S,O_N_37_30,37,,30,4.421170441,9.623122163,old-0.5-20
old method,20um,0.5,F1S,O_N_37_45,37,,45,3.922473083,10.59851831,old-0.5-20
old method,20um,0.5,F1S,O_N_1_1,1,,1,8.184932088,8.276284875,old-0.5-20
old method,20um,0.5,F1S,O_N_1_6A,1,,6A,7.989484069,10.04537346,old-0.5-20
old method,20um,0.5,F1S,O_N_1_7A,1,,7A,9.797503344,15.49180815,old-0.5-20
old method,20um,0.5,F1S,O_N_1_7B,1,,7B,13.28380651,16.97998171,old-0.5-20
old method,20um,0.5,F1S,O_N_1_8A,1,,8A,9.9603853,11.84445578,old-0.5-20
old method,20um,0.5,F1S,O_N_1_15A,1,,15A,13.05526692,15.76939618,old-0.5-20
old method,20um,0.5,F1S,O_N_1_21,1,,21,16.13504226,19.09299834,old-0.5-20
old method,20um,0.5,F2S,O_N_31_3A,31,,3A,5.79375578,14.55270611,old-0.5-20
old method,20um,0.5,F2S,O_N_31_5A,31,,5A,4.703593332,8.171533464,old-0.5-20
old method,20um,0.5,F2S,O_N_31_8,31,,8,5.346840711,14.04715654,old-0.5-20
old method,20um,0.5,F2S,O_N_31_12A,31,,12A,7.573639961,13.55445458,old-0.5-20
old method,20um,0.5,F2S,O_N_31_12B,31,,12B,11.88461777,19.11367471,old-0.5-20
old method,20um,0.5,F2S,O_N_31_16,31,,16,10.58345825,24.69337647,old-0.5-20
old method,20um,0.5,F2S,O_N_31_26,31,,26,8.676609546,13.2131063,old-0.5-20
old method,20um,0.5,F2S,O_N_31_28,31,,28,4.658140187,7.800448453,old-0.5-20
old method,20um,0.5,F2S,O_N_31_32,31,,32,6.198674082,17.52617244,old-0.5-20
old method,20um,0.5,F2S,O_N_31_39,31,,39,6.07007068,10.27759407,old-0.5-20
old method,20um,0.5,F2S,O_N_31_47,31,,47,11.00193625,22.39082479,old-0.5-20
old method,20um,0.5,F2S,O_N_31_50,31,,50,9.180953495,16.87482444,old-0.5-20
old method,20um,0.5,F2S,O_N_35_6,35,,6,5.971694372,11.50719747,old-0.5-20
old method,20um,0.5,F2S,O_N_35_28,35,,28,5.356680913,11.34054466,old-0.5-20
old method,20um,0.5,F2S,O_N_35_29,35,,29,4.749620292,13.02450534,old-0.5-20
old method,20um,0.5,F2S,O_N_35_31,35,,31,6.032492687,7.87294713,old-0.5-20
old method,20um,0.5,F2S,O_N_35_33,35,,33,4.800341291,10.55154872,old-0.5-20
